window,config,start,end,n_years,cagr,sharpe,max_dd,gross_cagr,annual_vol,sortino,turnover_annual,avg_holdings,value_data_coverage,n_days,net_cagr,max_dd_date,total_return,calmar,win_rate,spy_excess_cagr,sector_hhi,sleeve_correlation,allocator_defensive_frac
roll_3y_2012q3,spy_benchmark,2012-07-01,2015-06-30,2.99,17.1,1.144,-7.35,17.1,11.46,,0.0,1.0,,753.0,17.1,,60.29,,,,,,
roll_3y_2013q1,value_only,2013-01-01,2015-12-31,3.0,17.71,1.053,-13.89,17.94,13.01,1.41,4.1,29.2,99.9,756.0,17.71,2015-09-28,63.08,1.275,55.1,3.7,,,
roll_3y_2013q1,combined_static,2013-01-01,2015-12-31,3.0,21.27,1.162,-12.15,21.61,14.86,1.54,5.9,46.4,99.9,756.0,21.27,2015-09-29,78.34,1.751,56.3,7.26,,,
roll_3y_2013q1,spy_benchmark,2013-01-01,2015-12-31,3.0,14.01,0.79,-11.91,14.01,12.67,,0.0,1.0,,756.0,14.01,,48.18,,,,,,
roll_3y_2013q3,value_only,2013-07-01,2016-06-30,3.0,16.88,0.954,-13.89,17.11,13.51,1.309,4.1,29.2,99.9,757.0,16.88,2015-09-28,59.76,1.215,53.7,5.59,,,
roll_3y_2013q3,combined_static,2013-07-01,2016-06-30,3.0,18.96,0.999,-13.65,19.31,14.97,1.314,6.0,46.1,99.9,757.0,18.96,2016-02-08,68.45,1.389,55.4,7.67,,,
roll_3y_2013q3,spy_benchmark,2013-07-01,2016-06-30,3.0,11.29,0.543,-13.02,11.29,13.42,,0.0,1.0,,757.0,11.29,,37.9,,,,,,
roll_3y_2014q1,value_only,2014-01-01,2016-12-31,3.0,17.79,1.028,-13.89,18.04,13.42,1.394,4.3,29.2,99.9,756.0,17.79,2015-09-28,63.45,1.281,54.4,8.69,,,
roll_3y_2014q1,combined_static,2014-01-01,2016-12-31,3.0,17.82,0.937,-13.65,18.19,14.75,1.217,6.4,45.5,99.9,756.0,17.82,2016-02-08,63.56,1.306,56.3,8.71,,,
roll_3y_2014q1,spy_benchmark,2014-01-01,2016-12-31,3.0,9.11,0.383,-13.02,9.11,13.34,,0.0,1.0,,756.0,9.11,,29.89,,,,,,
roll_3y_2014q3,value_only,2014-07-01,2017-06-30,3.0,17.88,1.056,-13.89,18.13,13.15,1.436,4.3,29.2,99.9,757.0,17.88,2015-09-28,63.92,1.287,53.4,8.63,,,
roll_3y_2014q3,combined_static,2014-07-01,2017-06-30,3.0,20.0,1.114,-13.65,20.36,14.37,1.448,6.1,45.1,99.9,757.0,20.0,2016-02-08,72.93,1.466,55.7,10.75,,,
roll_3y_2014q3,spy_benchmark,2014-07-01,2017-06-30,3.0,9.25,0.405,-13.02,9.25,12.96,,0.0,1.0,,757.0,9.25,,30.45,,,,,,
