date,n_book,n1,ic1,n5,ic5,n10,ic10,n21,ic21
2026-04-21,19,19,-0.3350877192982456,19,-0.41578947368421054,19,-0.3245614035087719,19,-0.42105263157894735
2026-04-22,17,17,0.10049019607843139,17,0.28186274509803927,17,0.10294117647058824,17,0.12500000000000003
2026-04-23,18,18,-0.1413828689370485,18,-0.07946336429308565,18,-0.18059855521155832,18,-0.14344685242518057
2026-04-24,19,19,-0.1087719298245614,19,-0.1087719298245614,19,-0.2368421052631579,19,-0.243859649122807
2026-04-27,18,18,0.29205366357069146,18,-0.08359133126934985,18,-0.2776057791537668,18,-0.07533539731682146
2026-04-28,18,18,-0.23426212590299278,18,-0.3003095975232198,18,-0.4447884416924664,18,-0.27966976264189886
2026-04-29,17,17,0.14950980392156862,17,0.03921568627450981,17,-0.056372549019607844,17,0.17647058823529413
2026-04-30,16,16,0.16176470588235295,16,0.08823529411764705,16,0.055882352941176466,16,0.0588235294117647
2026-05-01,17,17,0.056372549019607844,17,-0.13970588235294118,17,-0.15441176470588236,17,0.14215686274509806
2026-05-04,16,16,-0.488235294117647,16,-0.4382352941176471,16,-0.22058823529411767,16,0.08823529411764705
2026-05-05,16,16,-0.21176470588235297,16,0.07058823529411765,16,-0.008823529411764706,16,0.10882352941176471
2026-05-06,17,17,0.17156862745098042,17,-0.02450980392156863,17,-0.1593137254901961,17,0.3308823529411765
2026-05-07,17,17,-0.10539215686274511,17,-0.03676470588235294,17,-0.03431372549019608,17,-0.02696078431372549
2026-05-08,16,16,-0.11470588235294117,16,-0.33529411764705885,16,0.18823529411764706,16,-0.1264705882352941
2026-05-11,18,18,0.4336603572231522,18,0.36757877897962427,18,0.2261229005520722,18,0.2085699813311351
2026-05-12,17,17,0.04411764705882353,17,0.0,17,-0.15441176470588236,17,-0.2916666666666667
2026-05-13,19,19,0.25186487725220014,19,0.14918825481837641,19,0.0,19,0.09302326476910529
2026-05-14,18,18,-0.01652039456088199,18,-0.06711410290358306,18,-0.011357771260606367,18,0.14661850172782764
2026-05-15,17,17,0.11274509803921569,17,-0.13480392156862747,17,-0.18627450980392157,17,-0.07843137254901962
2026-05-18,18,18,0.6449948400412797,18,0.05056759545923632,18,0.04643962848297213,18,0.2507739938080495
2026-05-19,19,19,0.0456140350877193,19,-0.15614035087719297,19,-0.06315789473684211,19,0.2456140350877193
2026-05-20,17,17,-0.43627450980392163,17,-0.573529411764706,17,-0.06862745098039216,17,-0.04411764705882353
2026-05-21,18,18,0.05675954592363261,18,-0.05056759545923632,18,0.2507739938080495,18,0.12693498452012383
2026-05-22,17,17,-0.3308823529411765,17,0.35294117647058826,17,0.3308823529411765,17,-0.01715686274509804
2026-05-25,17,0,,0,,0,,0,
2026-05-26,17,17,0.10049019607843139,17,0.17892156862745098,17,0.36274509803921573,16,0.17352941176470588
2026-05-27,18,18,-0.1001031991744066,18,-0.10835913312693499,18,0.06914344685242517,18,-0.1001031991744066
2026-05-28,18,18,-0.6060919754523579,18,0.0010325246600551244,18,0.0,18,-0.11977286056639443
2026-05-29,16,16,0.4088235294117647,16,0.5823529411764706,16,0.5558823529411765,15,0.15
2026-06-01,17,17,0.01715686274509804,17,0.40196078431372556,17,0.26470588235294124,16,0.047058823529411764
2026-06-02,17,17,0.25980392156862747,17,0.5416666666666667,17,0.5710784313725491,17,0.14215686274509806
2026-06-03,17,17,0.5137953142301092,17,0.4071122776238573,17,0.27099943781588093,16,0.01764705882352941
2026-06-04,17,17,0.28921568627450983,17,0.26470588235294124,17,0.29656862745098045,17,0.06617647058823531
2026-06-08,16,16,0.1604121111246834,16,-0.08241356167873644,16,-0.14422373293778876,16,0.06916852498036807
2026-06-09,16,16,0.39735110095105064,16,-0.21633559940668315,16,-0.16777046484599917,16,0.2560707095017882
2026-06-11,13,13,-0.7292928985449755,13,-0.6243189207241078,13,-0.03314967720658979,0,
2026-06-12,16,16,-0.07941176470588236,16,-0.14705882352941177,16,0.19999999999999998,0,
2026-06-15,16,16,-0.5117647058823529,16,-0.3558823529411765,16,0.19117647058823528,0,
2026-06-16,16,16,-0.42657116986847926,16,0.04575676908623825,16,0.12251005916637983,0,
2026-06-18,17,17,0.40441176470588236,17,0.39460784313725494,17,0.3651960784313726,0,
2026-06-19,17,0,,0,,0,,0,
2026-06-22,17,17,0.2303921568627451,17,0.22303921568627455,17,0.303921568627451,0,
2026-06-23,17,17,0.03676470588235294,17,0.03921568627450981,17,0.16176470588235298,0,
2026-06-24,17,17,-0.24509803921568632,17,0.21078431372549022,17,0.39460784313725494,0,
2026-06-25,17,17,0.4607843137254902,17,0.286764705882353,17,0.3137254901960785,0,
2026-06-26,14,14,0.006593406593406593,14,0.5120879120879122,14,0.5604395604395604,0,
2026-06-29,17,17,-0.11649297100682666,17,0.3237278352189709,0,,0,
2026-06-30,18,18,0.38906088751289986,18,0.3353973168214654,0,,0,
2026-07-01,18,18,0.24871001031991744,18,0.2982456140350877,0,,0,
2026-07-02,18,18,-0.09184726522187822,18,0.13519091847265222,0,,0,
2026-07-03,18,0,,0,,0,,0,
2026-07-06,18,18,0.5335397316821465,18,0.35397316821465424,0,,0,
2026-07-07,18,18,-0.16408668730650156,0,,0,,0,
